# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Apr 12 22:59:24 2026
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN sy_mnum:        Number of Moons
# COLUMN cb_flag:        Circumbinary Flag
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_masse:       Planet Mass [Earth Mass]
# COLUMN pl_massj:       Planet Mass [Jupiter Mass]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN st_refname:     Stellar Parameter Reference
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_age:         Stellar Age [Gyr]
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN glat:           Galactic Latitude [deg]
# COLUMN glon:           Galactic Longitude [deg]
# COLUMN sy_dist:        Distance [pc]
#
pl_name,hostname,default_flag,sy_snum,sy_pnum,sy_mnum,cb_flag,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_refname,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_masse,pl_massj,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_refname,st_spectype,st_teff,st_rad,st_mass,st_age,rastr,ra,decstr,dec,glat,glon,sy_dist
11 Com b,11 Com,1,2,1,0,0,Radial Velocity,2007,Xinglong Station,0,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,323.21000000000,1.1780000000,,,,,0.238000,0.007000,-0.007000,0,,,,,,,,,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,G8 III,4874.00,13.760000,2.090000,,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,78.28058,264.13775,93.18460000
11 Com b,11 Com,0,2,1,0,0,Radial Velocity,2007,Xinglong Station,0,<a refstr=LIU_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...672..553L/abstract target=ref> Liu et al. 2008 </a>,326.03000000000,1.2900000000,,,,,0.231000,0.005000,-0.005000,0,,,,,,,,,<a refstr=LIU_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...672..553L/abstract target=ref> Liu et al. 2008 </a>,G8 III,4742.00,19.000000,2.700000,,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,78.28058,264.13775,93.18460000
11 Com b,11 Com,0,2,1,0,0,Radial Velocity,2007,Xinglong Station,0,<a refstr=KUNITOMO_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...737...66K/abstract target=ref> Kunitomo et al. 2011</a>,,1.2100000000,,,,,,,,,,,,,,,,,<a refstr=KUNITOMO_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...737...66K/abstract target=ref> Kunitomo et al. 2011</a>,,,,2.600000,,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,78.28058,264.13775,93.18460000
11 UMi b,11 UMi,0,1,1,0,0,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,0,<a refstr=KUNITOMO_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...737...66K/abstract target=ref> Kunitomo et al. 2011</a>,,1.5100000000,,,,,,,,,,,,,,,,,<a refstr=KUNITOMO_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...737...66K/abstract target=ref> Kunitomo et al. 2011</a>,,,,1.700000,,15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428,41.04437,108.71900,125.32100000
11 UMi b,11 UMi,1,1,1,0,0,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,516.21997000000,1.5300000000,,,,,0.080000,0.030000,-0.030000,0,,,,,,,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,4213.00,29.790000,2.780000,,15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428,41.04437,108.71900,125.32100000
11 UMi b,11 UMi,0,1,1,0,0,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,0,<a refstr=DOLLINGER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...505.1311D/abstract target=ref> Dollinger et al. 2009 </a>,516.22000000000,1.5400000000,,,,,0.080000,0.030000,-0.030000,0,,,,,,,,,<a refstr=DOLLINGER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...505.1311D/abstract target=ref> Dollinger et al. 2009 </a>,K4 III,4340.00,24.080000,1.800000,1.5600,15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428,41.04437,108.71900,125.32100000
14 And b,14 And,1,1,1,0,0,Radial Velocity,2008,Okayama Astrophysical Observatory,0,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,186.76000000000,0.7750000000,,,,,0.000000,,,0,,,,,,,,,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,K0 III,4888.00,11.550000,1.780000,,23h31m17.80s,352.8241500,+39d14m09.01s,39.2358367,-21.05141,106.41269,75.43920000
14 And b,14 And,0,1,1,0,0,Radial Velocity,2008,Okayama Astrophysical Observatory,0,<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60.1317S/abstract target=ref> Sato et al. 2008 </a>,185.84000000000,0.8300000000,,,,,0.000000,,,0,,,,,,,,,<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60.1317S/abstract target=ref> Sato et al. 2008 </a>,K0 III,4813.00,11.000000,2.200000,,23h31m17.80s,352.8241500,+39d14m09.01s,39.2358367,-21.05141,106.41269,75.43920000
14 And b,14 And,0,1,1,0,0,Radial Velocity,2008,Okayama Astrophysical Observatory,0,<a refstr=KUNITOMO_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...737...66K/abstract target=ref> Kunitomo et al. 2011</a>,,0.6800000000,,,,,,,,,,,,,,,,,<a refstr=KUNITOMO_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...737...66K/abstract target=ref> Kunitomo et al. 2011</a>,,,,1.200000,,23h31m17.80s,352.8241500,+39d14m09.01s,39.2358367,-21.05141,106.41269,75.43920000
14 Her b,14 Her,0,1,2,0,0,Radial Velocity,2002,W. M. Keck Observatory,0,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,1765.03890000000,2.7740000000,,,2559.47216157,8.05300000,0.373000,0.008000,-0.006000,0,,,,,,,,,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,,,,0.910000,,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,46.94447,69.16849,17.93230000
